Record#;Publisher;Publication Title;UKB APC discount %;HOOP1;HOOP2;HOOP3;Impact Factor 2014;JCR Quartile 2014;"ISSN
print";"ISSN
Online";Collection Code;Collection 2016;URL;;JCR subject category;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26373;Elsevier;Algal Research;100;Gezondheid;Natuur;;5.014;Q1;2211-9264;2211-9264;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/22119264; ;"PSYCHOLOGY, EDUCATIONAL;PSYCHOLOGY, MULTIDISCIPLINARY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11344;Elsevier;American Heart Journal;100;Gezondheid;;;4.463;Q1;0002-8703;1097-6744;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/00028703; ;"ONCOLOGY;HEMATOLOGY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13714;Elsevier;American Journal of Cardiology, The;100;Gezondheid;;;3.276;Q2;0002-9149;0002-9149;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/00029149; ;"SOCIOLOGY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11370;Elsevier;Annales de Cardiologie et d'Angéiologie;100;Gezondheid;;;;;0003-3928;0003-3928;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/00033928; ;CARDIAC & CARDIOVASCULAR SYSTEMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11391;Elsevier;Annals of Anatomy - Anatomischer Anzeiger;100;Gezondheid;;;1.483;Q3;0940-9602;0940-9602;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/09409602; ;"PHARMACOLOGY & PHARMACY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11397;Elsevier;Annals of Nuclear Energy;100;Natuur;;;0.960;Q3;0306-4549;0306-4549;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/03064549; ;"ENGINEERING, MULTIDISCIPLINARY;ENGINEERING, MANUFACTURING;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11426;Elsevier;Applied Energy;100;Natuur;;;5.613;Q1;0306-2619;0306-2619;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/03062619; ;"MATHEMATICS, APPLIED;PHYSICS, MATHEMATICAL;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20557;Elsevier;Applied Thermal Engineering;100;Natuur;;;2.739;Q1;1359-4311;1359-4311;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/13594311; ;"ECOLOGY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19814;Elsevier;Archives of Cardiovascular Diseases;100;Gezondheid;;;1.840;Q3;1875-2136;1875-2136;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/18752136; ;"ECONOMICS;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11471;Elsevier;Atherosclerosis;100;Gezondheid;;;3.994;Q1;0021-9150;0021-9150;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/00219150; ;"BUSINESS;PLANNING & DEVELOPMENT;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
